seqname	start	end	strand	name	display_name	note
chrI	61288	62535	+	ERV46	>ERV46>	Protein localized to COPII-coated vesicles%2C forms a complex with Erv41p%3B involved in the membrane fusion stage of transport
chrI	62812	65376	+	CDC24	>CDC24>	Guanine nucleotide exchange factor (GEF or GDP-release factor) for Cdc42p%3B required for polarity establishment and maintenance%2C and mutants have morphological defects in bud formation and shmooing
chrI	65750	67492	-	CLN3	<CLN3<	G1 cyclin involved in cell cycle progression%3B activates Cdc28p kinase to promote the G1 to S phase transition%3B plays a role in regulating transcription of the other G1 cyclins%2C CLN1 and CLN2%3B regulated by phosphorylation and proteolysis
chrI	68688	69497	-	CYC3	<CYC3<	Cytochrome c heme lyase (holocytochrome c synthase)%2C attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in the mitochondrial intermembrane space%3B human ortholog may have a role in microphthalmia with linear skin defects (MLS)
chrI	71758	73260	+	CDC19	>CDC19>	Pyruvate kinase%2C functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate%2C the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration
chrI	72298	73272	-	YAL037C-B	<YAL037C-B<	Dubious open reading frame unlikely to encode a protein%3B identified by gene-trapping%2C microarray-based expression analysis%2C and genome-wide homology searching
chrI	73398	73490	-	YAL037C-A	<YAL037C-A<	Putative protein of unknown function
chrI	73992	74795	+	YAL037W	>YAL037W>	Putative protein of unknown function
chrI	75015	76124	-	RBG1	<RBG1<	Member of the DRG family of GTP-binding proteins%3B associates with translating ribosomes%3B interacts with Tma46p%2C Ygr250cp%2C Gir2p and Yap1p via two-hybrid
chrI	76399	79407	+	FUN12	>FUN12>	GTPase%2C required for general translation initiation by promoting Met-tRNAiMet binding to ribosomes and ribosomal subunit joining%3B homolog of bacterial IF2
chrI	79461	79814	-	YAL034C-B	<YAL034C-B<	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data
chrI	79690	80559	+	MTW1	>MTW1>	Essential component of the MIND kinetochore complex (Mtw1p Including Nnf1p-Nsl1p-Dsn1p) which joins kinetochore subunits contacting DNA to those contacting microtubules%3B critical to kinetochore assembly
chrI	80682	81923	-	FUN19	<FUN19<	Non-essential protein of unknown function%3B expression induced in response to heat stress
chrI	82678	83199	+	POP5	>POP5>	Subunit of both RNase MRP%2C which cleaves pre-rRNA%2C and nuclear RNase P%2C which cleaves tRNA precursors to generate mature 5' ends
chrI	83307	84446	-	PRP45	<PRP45<	Protein required for pre-mRNA splicing%3B associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p%3B orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene
chrI	84641	84949	+	YAL031W-A	>YAL031W-A>	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data
chrI	84721	87003	-	GIP4	<GIP4<	Cytoplasmic Glc7-interacting protein whose overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation%3B potential Cdc28p substrate
chrI	87258	87724	+	SNC1	>SNC1>	Vesicle membrane receptor protein (v-SNARE) involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane%3B proposed to be involved in endocytosis%3B member of the synaptobrevin%2FVAMP family of R-type v-SNARE proteins
chrI	87827	92242	-	MYO4	<MYO4<	One of two type V myosin motors (along with MYO2) involved in actin-based transport of cargos%3B required for mRNA transport%2C including ASH1 mRNA%2C and facilitating the growth and movement of ER tubules into the growing bud along with She3p
chrI	92872	94458	+	FRT2	>FRT2>	Tail-anchored ER membrane protein%2C interacts with homolog Frt1p%3B promotes growth in conditions of high Na%2B%2C alkaline pH%2C or cell wall stress%2C possibly via a role in posttranslational translocation%3B potential Cdc28p substrate
chrI	94659	95444	+	SAW1	>SAW1>	Protein involved in Rad1p%2FRad10p-dependent removal of 3'-nonhomologous tails during double-strand break repair via single-strand annealing%3B green fluorescent protein (GFP)-fusion protein localizes to the nucleus
chrI	95358	95795	-	YAL026C-A	<YAL026C-A<	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data%3B partially overlaps the uncharacterized ORF YAL027W and the verified gene DRS2
chrI	95602	99669	-	DRS2	<DRS2<	Aminophospholipid translocase (flippase) that maintains membrane lipid asymmetry in post-Golgi secretory vesicles%3B contributes to clathrin-coated vesicle formation and endocytosis%3B mutations in human homolog ATP8B1 result in liver disease
chrI	100197	101117	-	MAK16	<MAK16<	Essential nuclear protein%2C constituent of 66S pre-ribosomal particles%3B required for maturation of 25S and 5.8S rRNAs%3B required for maintenance of M1 satellite double-stranded RNA of the L-A virus
chrI	101537	105844	-	LTE1	<LTE1<	Protein similar to GDP%2FGTP exchange factors but without detectable GEF activity%3B required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures
chrI	106244	108523	-	PMT2	<PMT2<	Protein O-mannosyltransferase%2C transfers mannose residues from dolichyl phosphate-D-mannose to protein Ser%2FThr residues%3B involved in ER quality control%3B acts in a complex with Pmt1p%2C can instead interact with Pmt5%3B target for new antifungal
chrI	108849	110402	-	FUN26	<FUN26<	Nucleoside transporter with broad nucleoside selectivity%3B localized to intracellular membranes
chrI	110818	113331	-	CCR4	<CCR4<	Component of the CCR4-NOT transcriptional complex%2C which is involved in regulation of gene expression%3B component of the major cytoplasmic deadenylase%2C which is involved in mRNA poly(A) tail shortening
chrI	113586	114587	-	ATS1	<ATS1<	Protein required%2C with Elongator complex%2C Kti11p%2C and Kti12p%2C for modification of wobble nucleosides in tRNA%3B has a potential role in regulatory interactions between microtubules and the cell cycle
chrI	114222	114791	+	YAL019W-A	>YAL019W-A>	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data
chrI	114891	118286	+	FUN30	>FUN30>	Conserved member of the Snf2p family with ATP-dependent chromatin remodeling activity%3B has a role in silencing%3B potential Cdc28p substrate%3B authentic%2C non-tagged protein is detected in purified mitochondria in high-throughput studies
chrI	118536	119513	-	YAL018C	<YAL018C<	Putative protein of unknown function
chrI	120197	124267	+	PSK1	>PSK1>	One of two (see also PSK2) PAS domain containing S%2FT protein kinases%3B coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status
chrI	124279	124464	-	YAL016C-B	<YAL016C-B<	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data
chrI	124727	125041	-	YAL016C-A	<YAL016C-A<	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data
chrI	124851	126758	+	TPD3	>TPD3>	Regulatory subunit A of the heterotrimeric protein phosphatase 2A (PP2A)%2C which also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p%3B required for cell morphogenesis and transcription by RNA polymerase III
chrI	126877	128076	-	NTG1	<NTG1<	DNA N-glycosylase and apurinic%2Fapyrimidinic (AP) lyase involved in base excision repair%3B acts in both nucleus and mitochondrion%3B creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress
chrI	128226	128993	-	SYN8	<SYN8<	Endosomal SNARE related to mammalian syntaxin 8
chrI	129244	130461	+	DEP1	>DEP1>	Transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes%2C as well as maintenance of telomeres%2C mating efficiency%2C and sporulation
chrI	130773	131957	+	CYS3	>CYS3>	Cystathionine gamma-lyase%2C catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine
chrI	132173	134050	+	SWC3	>SWC3>	Protein of unknown function%2C component of the SWR1 complex%2C which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A%3B required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae
chrI	134158	135639	-	MDM10	<MDM10<	Subunit of both the ERMES complex that links the ER to mitochondria%2C and of the mitochondrial sorting and assembly machinery (SAM complex) that functions in import and assembly of outer membrane beta-barrel proteins
chrI	135828	136607	+	SPO7	>SPO7>	Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme%2C regulates nuclear growth by controlling phospholipid biosynthesis%2C required for normal nuclear envelope morphology%2C premeiotic replication%2C and sporulation
chrI	136888	137484	+	FUN14	>FUN14>	Mitochondrial protein of unknown function
chrI	137672	138319	-	ERP2	<ERP2<	Protein that forms a heterotrimeric complex with Erp1p%2C Emp24p%2C and Erv25p%3B member%2C along with Emp24p and Erv25p%2C of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles
chrI	139477	141405	-	SSA1	<SSA1<	ATPase involved in protein folding and nuclear localization signal (NLS)-directed nuclear transport%3B member of heat shock protein 70 (HSP70) family%3B forms a chaperone complex with Ydj1p%3B localized to the nucleus%2C cytoplasm%2C and cell wall
chrI	140734	141381	+	YAL004W	>YAL004W>	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data%3B completely overlaps verified gene SSA1%2FYAL005C
chrI	142148	143134	+	EFB1	>EFB1>	Translation elongation factor 1 beta%3B stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle%3B part of the EF-1 complex%2C which facilitates binding of aminoacyl-tRNA to the ribosomal A site
chrI	143681	147505	+	VPS8	>VPS8>	Membrane-associated protein that interacts with Vps21p to facilitate soluble vacuolar protein localization%3B component of the CORVET complex%3B required for localization and trafficking of the CPY sorting receptor%3B contains RING finger motif
chrI	147568	151140	-	TFC3	<TFC3<	Largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC)%3B part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes%3B cooperates with Tfc6p in DNA binding
chrI	152231	153850	+	NUP60	>NUP60>	Subunit of the nuclear pore complex (NPC)%2C functions to anchor Nup2p to the NPC in a process controlled by the nucleoplasmic concentration of Gsp1p-GTP%3B involved in nuclear export and cytoplasmic localization of specific mRNAs such as ASH1
chrI	154039	154698	-	ERP1	<ERP1<	Protein that forms a heterotrimeric complex with Erp2p%2C Emp24p%2C and Erv25p%3B member%2C along with Emp24p and Erv25p%2C of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles
chrI	154979	156259	+	SWD1	>SWD1>	Subunit of the COMPASS (Set1C) complex%2C which methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres%3B WD40 beta propeller superfamily member with similarity to mammalian Rbbp7
chrI	156728	158593	-	RFA1	<RFA1<	Subunit of heterotrimeric Replication Protein A (RPA)%2C which is a highly conserved single-stranded DNA binding protein involved in DNA replication%2C repair%2C and recombination
chrI	158940	159767	+	SEN34	>SEN34>	Subunit of the tRNA splicing endonuclease%2C which is composed of Sen2p%2C Sen15p%2C Sen34p%2C and Sen54p%3B Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease
chrI	166716	168845	-	BUD14	<BUD14<	Protein involved in bud-site selection%2C Bud14p-Glc7p complex is a cortical regulator of dynein%3B inhibitor of the actin assembly factor Bnr1p (formin)%3B diploid mutants display a random budding pattern instead of the wild-type bipolar pattern
chrI	169349	170269	+	ADE1	>ADE1>	N-succinyl-5-aminoimidazole-4-carboxamide ribotide (SAICAR) synthetase%2C required for 'de novo' purine nucleotide biosynthesis%3B red pigment accumulates in mutant cells deprived of adenine
chrI	170370	171677	-	KIN3	<KIN3<	Nonessential protein kinase with unknown cellular role
chrI	172185	175109	-	CDC15	<CDC15<	Protein kinase of the Mitotic Exit Network that is localized to the spindle pole bodies at late anaphase%3B promotes mitotic exit by directly switching on the kinase activity of Dbf2p%3B required for spindle disassembly after meiosis II
chrI	174972	175304	+	YAR019W-A	>YAR019W-A>	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data
chrI	176830	176997	-	PAU7	<PAU7<	Member of the seripauperin multigene family%2C active during alcoholic fermentation%2C regulated by anaerobiosis%2C inhibited by oxygen%2C repressed by heme
chrI	179255	179794	-	YAR023C	<YAR023C<	Putative integral membrane protein%2C member of DUP240 gene family
chrI	183740	184447	+	UIP3	>UIP3>	Putative integral membrane protein of unknown function%3B interacts with Ulp1p at the nuclear periphery%3B member of DUP240 gene family
chrI	184862	185566	+	YAR028W	>YAR028W>	Putative integral membrane protein%2C member of DUP240 gene family%3B GFP-fusion protein is induced in response to the DNA-damaging agent MMS
chrI	186291	186515	+	YAR029W	>YAR029W>	Member of DUP240 gene family but contains no transmembrane domains%3B green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern
chrI	186482	186823	-	YAR030C	<YAR030C<	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data%3B partially overlaps the uncharacterized ORF YAR029W and the verified gene PRM9
chrI	186806	187702	+	PRM9	>PRM9>	Pheromone-regulated protein with 3 predicted transmembrane segments and an FF sequence%2C a motif involved in COPII binding%3B member of DUP240 gene family
chrI	188077	188781	+	MST28	>MST28>	Putative integral membrane protein%2C involved in vesicle formation%3B forms complex with Mst27p%3B member of DUP240 gene family%3B binds COPI and COPII vesicles
chrI	190163	192226	+	YAT1	>YAT1>	Outer mitochondrial carnitine acetyltransferase%2C minor ethanol-inducible enzyme involved in transport of activated acyl groups from the cytoplasm into the mitochondrial matrix%3B phosphorylated
chrI	192307	192387	-	YAR035C-A	<YAR035C-A<	Putative protein of unknown function%3B identified by gene-trapping%2C microarray-based expression analysis%2C and genome-wide homology searching%3B predicted to have a role in cell budding based on computational %22guilt by association%22 analysis
chrI	192589	196155	+	SWH1	>SWH1>	Protein similar to mammalian oxysterol-binding protein%3B contains ankyrin repeats%3B localizes to the Golgi and the nucleus-vacuole junction
chrI	201443	201763	-	YAR047C	<YAR047C<	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data
chrI	203370	208025	+	FLO1	>FLO1>	Lectin-like protein involved in flocculation%2C cell wall protein that binds to mannose chains on the surface of other cells%2C confers floc-forming ability that is chymotrypsin sensitive and heat resistant%3B similar to Flo5p
chrI	208377	208673	+	YAR053W	>YAR053W>	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data
chrI	217164	217499	-	YAR060C	<YAR060C<	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data
chrI	220206	220505	+	YAR064W	>YAR064W>	Putative protein of unknown function
chrI	221057	221668	+	YAR066W	>YAR066W>	Putative GPI protein
chrI	222414	222899	+	YAR068W	>YAR068W>	Fungal-specific protein of unknown function%3B induced in respiratory-deficient cells
chrI	224001	224294	-	YAR069C	<YAR069C<	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data
chrI	224554	224853	-	YAR070C	<YAR070C<	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data
chrI	225444	226847	+	PHO11	>PHO11>	One of three repressible acid phosphatases%2C a glycoprotein that is transported to the cell surface by the secretory pathway%3B induced by phosphate starvation and coordinately regulated by PHO4 and PHO2
chrI	227726	228933	+	IMD1	>IMD1>	Nonfunctional protein with homology to IMP dehydrogenase%3B probable pseudogene%2C located close to the telomere%3B is not expressed at detectable levels%3B YAR073W and YAR075W comprise a continuous reading frame in some strains of S. cerevisiae
chrI	228828	229297	+	YAR075W	>YAR075W>	Non-functional protein with homology IMP dehydrogenase%3B YAR073W%2FIMD1 and YAR075W comprise a continuous reading frame in some strains of S. cerevisiae.
chrII	279	2657	-	YBL113C	<YBL113C<	Helicase-like protein encoded within the telomeric Y' element
chrII	645	1127	+	YBL113W-A	>YBL113W-A>	Dubious open reading frame unlikely to encode a protein%3B identified by gene-trapping%2C microarray-based expression analysis%2C and genome-wide homology searching
chrII	2581	2898	-	YBL112C	<YBL112C<	Putative protein of unknown function%3B YBL112C is contained within TEL02L
chrII	2906	5008	-	YBL111C	<YBL111C<	Helicase-like protein encoded within the telomeric Y' element
chrII	5789	6124	+	YBL109W	>YBL109W>	Dubious open reading frame unlikely to encode a protein%2C based on experimental and comparative sequence data
chrII	7604	7732	-	PAU9	<PAU9<	Protein of unknown function%2C member of the seripauperin multigene family encoded mainly in subtelomeric regions
chrII	8175	8480	+	YBL108W	>YBL108W>	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data
chrII	9266	9370	+	YBL107W-A	>YBL107W-A>	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data%3B completely overlaps the Ty2 LTR YBLWdelta2
chrII	9959	10549	-	YBL107C	<YBL107C<	Putative protein of unknown function%3B green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm%3B YBL107C is not an essential gene
chrII	10845	13877	-	SRO77	<SRO77<	Protein with roles in exocytosis and cation homeostasis%3B functions in docking and fusion of post-Golgi vesicles with plasma membrane%3B homolog of Sro7p and Drosophila lethal giant larvae tumor suppressor%3B interacts with SNARE protein Sec9p
chrII	14239	17694	-	PKC1	<PKC1<	Protein serine%2Fthreonine kinase essential for cell wall remodeling during growth%3B localized to sites of polarized growth and the mother-daughter bud neck%3B homolog of the alpha%2C beta%2C and gamma isoforms of mammalian protein kinase C (PKC)
chrII	18175	21291	-	YBL104C	<YBL104C<	Putative protein of unknown function%2C promoter contains multiple GCN4 binding sites
chrII	22074	23534	-	RTG3	<RTG3<	Basic helix-loop-helix-leucine zipper (bHLH%2FZip) transcription factor that forms a complex with another bHLH%2FZip protein%2C Rtg1p%2C to activate the retrograde (RTG) and TOR pathways
chrII	24096	24743	+	SFT2	>SFT2>	Non-essential tetra-spanning membrane protein found mostly in the late Golgi%2C can suppress some sed5 alleles%3B may be part of the transport machinery%2C but precise function is unknown%3B similar to mammalian syntaxin 5
chrII	24944	28297	-	ECM21	<ECM21<	Protein involved in regulating the endocytosis of plasma membrane proteins%3B identified as a substrate for ubiquitination by Rsp5p and deubiquitination by Ubp2p%3B promoter contains several Gcn4p binding elements
chrII	28425	28544	+	YBL100W-C	>YBL100W-C>	Putative protein of unknown function%3B identified by gene-trapping%2C microarray-based expression analysis%2C and genome-wide homology searching
chrII	36987	37301	-	YBL100C	<YBL100C<	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data%3B almost completely overlaps the 5' end of ATP1
chrII	37051	38688	+	ATP1	>ATP1>	Alpha subunit of the F1 sector of mitochondrial F1F0 ATP synthase%2C which is a large%2C evolutionarily conserved enzyme complex required for ATP synthesis%3B phosphorylated
chrII	39143	40525	+	BNA4	>BNA4>	Kynurenine 3-mono oxygenase%2C required for the de novo biosynthesis of NAD from tryptophan via kynurenine%3B expression regulated by Hst1p%3B putative therapeutic target for Huntington disease
chrII	40829	43093	+	BRN1	>BRN1>	Subunit of the condensin complex%3B required for chromosome condensation and for clustering of tRNA genes at the nucleolus%3B may influence multiple aspects of chromosome transmission
chrII	43172	43480	-	YBL096C	<YBL096C<	Non-essential protein of unknown function
chrII	43275	44087	+	YBL095W	>YBL095W>	Putative protein of unknown function%3B the authentic%2C non-tagged protein is detected in highly purified mitochondria in high-throughput studies
chrII	43763	44095	-	YBL094C	<YBL094C<	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data%3B partially overlaps uncharacterized ORF YBL095W
chrII	44254	44916	-	ROX3	<ROX3<	Subunit of the RNA polymerase II mediator complex%3B associates with core polymerase subunits to form the RNA polymerase II holoenzyme
chrII	45643	46368	+	RPL32	>RPL32>	Protein component of the large (60S) ribosomal subunit%2C has similarity to rat L32 ribosomal protein%3B overexpression disrupts telomeric silencing
chrII	46563	47178	-	SCS22	<SCS22<	Protein involved in regulation of phospholipid metabolism%3B homolog of Scs2p%3B similar to D. melanogaster inturned protein
chrII	47361	48626	-	MAP2	<MAP2<	Methionine aminopeptidase%2C catalyzes the cotranslational removal of N-terminal methionine from nascent polypeptides%3B function is partially redundant with that of Map1p
chrII	48823	49356	+	MRP21	>MRP21>	Mitochondrial ribosomal protein of the small subunit%3B MRP21 exhibits genetic interactions with mutations in the COX2 and COX3 mRNA 5'-untranslated leader sequences
chrII	49572	50951	+	AVT5	>AVT5>	Putative transporter%2C member of a family of seven S. cerevisiae genes (AVT1-7) related to vesicular GABA-glycine transporters
chrII	51017	59380	-	TEL1	<TEL1<	Protein kinase primarily involved in telomere length regulation%3B contributes to cell cycle checkpoint control in response to DNA damage%3B functionally redundant with Mec1p%3B homolog of human ataxia telangiectasia (ATM) gene
chrII	59820	60737	-	RPL23A	<RPL23A<	Protein component of the large (60S) ribosomal subunit%2C identical to Rpl23Bp and has similarity to E. coli L14 and rat L23 ribosomal proteins
chrII	61200	62600	-	YBL086C	<YBL086C<	Protein of unknown function%3B green fluorescent protein (GFP)-fusion protein localizes to the cell periphery
chrII	63874	66816	+	BOI1	>BOI1>	Protein implicated in polar growth%2C functionally redundant with Boi2p%3B interacts with bud-emergence protein Bem1p%3B contains an SH3 (src homology 3) domain and a PH (pleckstrin homology) domain
chrII	67167	69443	-	CDC27	<CDC27<	Subunit of the Anaphase-Promoting Complex%2FCyclosome (APC%2FC)%2C which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors%2C including mitotic cyclins%2C during the metaphase%2Fanaphase transition
chrII	69711	70136	-	YBL083C	<YBL083C<	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data%3B overlaps verified ORF ALG3
chrII	69749	71125	-	ALG3	<ALG3<	Dolichol-P-Man dependent alpha(1-3) mannosyltransferase%2C involved in the synthesis of dolichol-linked oligosaccharide donor for N-linked glycosylation of proteins
chrII	71864	72970	+	YBL081W	>YBL081W>	Non-essential protein of unknown function%3B null mutation results in a decrease in plasma membrane electron transport
chrII	73068	74693	-	PET112	<PET112<	Subunit of the trimeric GatFAB AmidoTransferase(AdT) complex%3B involved in the formation of Q-tRNAQ%3B mutation is functionally complemented by the bacterial GatB ortholog
chrII	75257	79765	+	NUP170	>NUP170>	Subunit of the nuclear pore complex (NPC)%2C required for NPC localization of specific nucleoporins%3B involved in nuclear envelope permeability and chromosome segregation%3B has similar to Nup157p%3B essential role%2C with Nup157p%2C in NPC assembly
